producto_url,nombre,Sistema Operativo,Procesador,RAM (GB),Almacenamiento interno (GB),Pantalla (Pulgadas),Cámara Principal (MP),Cámara frontal (MP),NFC,PRECIO DE LISTA,PRECIO DE LISTA SIN IMPUESTOS,PRECIO DE PROMOCIÓN,PRECIO DE PROMOCIÓN SIN IMPUESTOS,PRECIO CONEXIÓN TOTAL,PRECIO CONEXIÓN TOTAL SIN IMPUESTOS,Financiación
https://tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a06-128-gb/f,Samsung Galaxy A06 128 GB,Android 14,Octa-Core (2.0GHz.1.8GHz),4,128,6.7,50,8,No,335.999,277.685,247.999,204.957,223.199,184.461,6 cuotas s/int. en tu factura | 12 cuotas s/int. con tarjeta
https://tienda.personal.com.ar/celulares/motorola/motorola-moto-g35-5g-128-gb/f,Motorola Moto G35 5G 128 GB,Android 14,Octa-Core 2.2GHz,4,128,6.72,50,16,Si,491.999,406.610,309.999,256.197,278.999,230.577,6 cuotas s/int. en tu factura | 12 cuotas s/int. con tarjeta
https://tienda.personal.com.ar/celulares/oppo/oppo-a60-256-gb/f,OPPO A60 256 GB,Android 14,,8,256,6.67,50,5,No,658.999,544.627,394.999,326.445,355.499,293.800,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/motorola/motorola-moto-g-75-5g-128-gb/f,Motorola Moto G75 5G 128 GB,Android 14,Octa-Core 2.4GHz,8,128,6.78,50,16,Si,555.999,459.503,469.999,388.428,422.999,349.585,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/apple/iphone-13-pro-max-256-gb/f,iPhone 13 Pro Max 256 GB,iOS 15,,6,256,6,12,12,No,4.299.999,3.553.718,1.529.999,1.264.461,1.376.999,1.138.015,Hasta 6 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a15-128-gb/f,Samsung Galaxy A15 128 GB,Android 14,Octa-Core (2.2GHz - 2GHz),4,128,6.5,50,13,Si,436.999,361.156,329.999,272.726,296.999,245.453,6 cuotas s/int. en tu factura | 12 cuotas s/int. con tarjeta
https://tienda.personal.com.ar/celulares/nubia/nubia-music-128-gb/f,Nubia Music 128 GB,Android 13,,4,128,6.6,50,5,No,264.999,219.007,214.999,177.685,193.499,159.916,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/xiaomi/xiaomi-redmi-14c-256-gb/f,Xiaomi Redmi 14C 256 GB,Android 14,,4,256,6.88,50,13,No,441.999,365.288,349.589,288.916,314.630,260.024,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a36-5g-256-gb/f,Samsung Galaxy A36 5G 256 GB,Android 15,,8,256,6.7,50,12,SI,925.999,765.288,739.999,611.569,665.999,550.412,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/apple/iphone-13-pro-256-gb/f,iPhone 13 Pro 256 GB,iOS 15,,6,256,6,12,12,No,3.978.989,3.288.420,1.399.999,1.157.023,1.259.999,1.041.321,Hasta 3 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/tcl/tcl-505-nfc-128-gb/f,TCL 505 NFC 128 GB,Android 14,,4,128,6.75,50,5,Si,239.999,198.346,164.999,136.362,148.499,122.726,Hasta 3 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/oppo/oppo-a40-256-gb/f,OPPO A40 256 GB,Android 14,,4,256,6.67,50,5,No,485.999,401.652,299.999,247.933,269.999,223.139,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a56-5g-256-gb/f,Samsung Galaxy A56 5G 256 GB,Android 15,,8,256,6.7,50,12,SI,1.136.999,939.668,884.999,731.404,796.499,658.263,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/zte/zte-blade-a75-5g-256gb/f,ZTE Blade A75 5G 256 GB,Android 13,,4,256,6.6,50,8,No,329.999,272.726,239.999,198.346,215.999,178.511,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/zte/zte-blade-a35-64-gb/f,ZTE Blade A35 64 GB,Android 14 Go,,2,64,6.75,8,5,No,206.999,171.073,179.999,148.759,161.999,133.883,Hasta 9 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/nubia/nubia-focus-5g-256-gb/f,Nubia Focus 5G 256 GB,Android 13,Octa-Core (2.2GHz-2.0GHz),6,256,6.6,108,8,Si,439.999,363.635,339.999,280.990,305.999,252.891,6 cuotas s/int. en tu factura | 12 cuotas s/int. con tarjeta
https://tienda.personal.com.ar/celulares/oppo/oppo-reno-12f-256-gb/f,OPPO Reno 12F 256 GB,Android 14,,12,256,6.67,50,32,Si,1.144.999,946.280,799.999,661.156,719.999,595.040,Hasta 9 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/apple/iphone-13-pro-128-gb/f,iPhone 13 Pro 128 GB,iOS 15,,6,128,6,12,12,No,3.520.999,2.909.916,1.299.999,1.074.379,1.169.999,966.941,Hasta 6 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/motorola/motorola-moto-e14/f,Motorola Moto E14 64 GB,Android 14 Go,Octa-Core 1.6GHz,2,64,6.65,13,5,No,201.999,140.277,149.999,103.836,134.999,93.452,6 cuotas s/int. en tu factura | 12 cuotas s/int. con tarjeta
https://tienda.personal.com.ar/celulares/xiaomi/xiaomi-redmi-14c-128-gb/f,Xiaomi Redmi 14C 128 GB,Android 14,,4,128,6.88,50,13,No,349.999,289.255,324.799,268.428,292.319,241.585,6 cuotas s/int. en tu factura | 12 cuotas s/int. con tarjeta
https://tienda.personal.com.ar/celulares/nubia/nubia-focus-pro-5g-256-gb/f,Nubia Focus Pro 5G 256 GB,Android 13,Octa-Core (2.2GHz-2.0GHz),8,256,6.72,108,32,Si,539.999,446.280,469.999,388.428,422.999,349.585,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a26-5g-256-gb/f,Samsung Galaxy A26 5G 256 GB,Android 15,,8,256,6.7,50,13,SI,699.999,578.511,,,629.999,520.660,Hasta 9 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/apple/iphone-14-128-gb-cable-1mts/f,iPhone 14 128 GB + Cable USB-C Lightning 1mt,iOS 16,,6,128,6.1,12,12,,2.056.138,1.699.287,1.699.999,1.404.957,1.529.999,1.264.461,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/apple/iphone-14-256-gb-cable-2mts/f,iPhone 14 256 GB + Cable USB-C Lightning 2mts,iOS 16,,6,256,6.1,12,12,,2.721.298,2.249.006,1.999.999,1.652.891,1.799.999,1.487.602,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/motorola/motorola-razr-50-ultra/f,Motorola Razr 50 Ultra 512 GB,Android 14,Octa-Core 2.9GHz,12,512,6.9,50,32,S,2.190.999,1.810.742,1.499.999,1.239.668,1.349.999,1.115.701,Hasta 6 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/zte/zte-blade-v60-256-gb/f,ZTE Blade V60 256 GB,Android 13,,8,256,6.72,50,32,Si,402.999,333.057,299.999,247.933,269.999,223.139,Hasta 9 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/xiaomi/xiaomi-redmi-note-13-128-gb/f,Xiaomi Redmi Note 13 128 GB,Android 13,Octa-Core 2.8GHz,6,128,6.67,108,16,No,519.999,429.751,416.899,344.544,375.209,310.090,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/apple/iphone-14-pro-256-gb-cable-2-mts/f,iPhone 14 Pro 256 GB + Cable Lightning 2mts,iOS 16,,6,256,6.1,48,12,,3.369.798,2.784.957,2.699.999,2.231.404,2.429.999,2.008.263,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/zte/zte-blade-a34/f,ZTE Blade A34 64 GB,Android 13 Go,Octa-Core (1.6GHz.1.2GHz),2,64,6.6,8,5,No,201.999,166.941,129.999,107.437,116.999,96.693,6 cuotas s/int. en tu factura | 12 cuotas s/int. con tarjeta
https://tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a06-64-gb/f,Samsung Galaxy A06 64 GB,Android 14,Octa-Core (2.0GHz.1.8GHz),4,64,6.7,50,8,No,265.999,219.833,202.999,167.767,182.699,150.990,6 cuotas s/int. en tu factura | 12 cuotas s/int. con tarjeta
https://tienda.personal.com.ar/celulares/tcl/tcl-50-pro-nxtpaper-5g/f,TCL 50 PRO NXTPAPER 5G 512 GB,Android 14,,8,512,6.78,108,32,Si,649.999,537.189,499.999,413.222,449.999,371.900,Hasta 6 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/xiaomi/xiaomi-redmi-note-13/f,Xiaomi Redmi Note 13 256 GB,Android 13,Octa-Core 2.8GHz,8,256,6.67,108,16,No,577.999,477.685,,,520.199,429.916,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/zte/zte-blade-a54/f,ZTE Blade A54 128 GB,Android 13,Octa-Core (1.6GHz-1.2GHz),4,128,6.6,13,5,No,229.999,190.081,149.999,123.966,134.999,111.569,Hasta 9 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/motorola/motorola-edge-50-ultra/f,Motorola Edge 50 Ultra 512 GB,Android 14,Octa-Core 3GHz,12,512,6.67,50,50,Si,1.769.999,1.462.809,1.599.999,1.322.313,1.439.999,1.190.081,Hasta 6 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/zte/zte-blade-v60-design-256-gb/f,ZTE Blade V60 Design 256 GB,Android 13,,6,256,6.6,50,8,No,362.999,299.999,259.999,214.875,233.999,193.387,Hasta 9 cuotas s/int. | con tarjetas de crédito
